id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
1352,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIR1131-2,food bank site,First Presbyterian Church - Outreached Arms,320 Sixth Avenue,Pittsburgh,PA,15222,Allegheny,NA,NA,NA,40.4415223,-79.9991206,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1353,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFIR1326-1,food bank site,First Step Recovery Homes Inc.,336 Penny Street,McKeesport,PA,15132,Allegheny,NA,NA,NA,40.3478727,-79.8627927,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1354,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOC1038-1,food bank site,Focus on Renewal Food Pantry,302 Bell Avenue,McKees Rocks,PA,15136,Allegheny,NA,NA,NA,40.465864,-80.057152,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1355,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOC1038-2,food bank site,Focus on Renewal Soup Kitchen,500 Chartiers Avenue,McKees Rocks,PA,15136,Allegheny,NA,NA,NA,40.4649826,-80.058841,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1356,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOC2389-1,food bank site,FOCUS Pittsburgh,2228 Centre Ave.,Pittsburgh,PA,15219,Allegheny,NA,NA,NA,40.4450851,-79.9749698,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1357,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOC2389-5,food bank site,FOCUS Pittsburgh - McKeesport Backpack Program,NA,Pittsburgh,PA,15219,Allegheny,NA,NA,NA,0,0,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,"address missing;latlng is (0,0);"
1358,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOC2389-2,food bank site,FOCUS Pittsburgh - Northside Backpack Program,NA,Pittsburgh,PA,15219,Allegheny,NA,NA,NA,0,0,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,"address missing;latlng is (0,0);"
1359,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOC2389-3,food bank site,FOCUS Pittsburgh - PPS,NA,Pittsburgh,PA,15219,Allegheny,NA,NA,NA,0,0,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,"address missing;latlng is (0,0);"
1360,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOC2389-4,food bank site,FOCUS Pittsburgh - Southside Backpack Program,NA,Pittsburgh,PA,15219,Allegheny,NA,NA,NA,0,0,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,"address missing;latlng is (0,0);"
1361,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOC2457-1,food bank site,FOCUS West Central PA,1501 8th Avenue,Beaver Falls,PA,15010,Beaver,NA,NA,NA,40.756097,-80.321093,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1362,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOO2105-1,food bank site,Food for Families,945 Franklin Street,Johnstown,PA,15905,Cambria,NA,NA,NA,40.30907,-78.9164808,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1363,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOR2527-1,food bank site,Forbes Family Medicine,2550 Mosside Blvd. Suite 500,Monroeville,PA,15146,Allegheny,NA,NA,NA,40.4269983,-79.7525803,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1364,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOR2309-1,food bank site,Forest Hills Senior Apartments,2111 Ardmore Blvd.,Pittsburgh,PA,15221,Allegheny,NA,NA,NA,40.4194053,-79.8494124,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1365,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFOR2315-1,food bank site,Forward Shady Apartments,5841 Forward Ave.,Pittsburgh,PA,15217,Allegheny,NA,NA,NA,40.4296037,-79.921613,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1366,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFRE1402-1,food bank site,Freeport Council of Churches,"102 Fifth Avenue, (in basement)",Freeport,PA,16229,Armstrong,NA,NA,NA,40.672061,-79.684365,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1367,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PFRI2434-1,food bank site,Friendship Community Church,181 Robinson St.,PIttsburgh,PA,15213,Allegheny,NA,NA,NA,40.4401162,-79.9658257,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1368,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGCA2417-1,food bank site,G Camp J Edwards NM,330 Connecticut Ave.,Rochester,PA,15074,Beaver,NA,NA,NA,40.7028722,-80.2846139,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1369,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGAB2310-1,food bank site,Gable Ridge Apartments,8000 Beacon Hill Dr.,Pittsburgh,PA,15221,Allegheny,NA,NA,NA,40.4435068,-79.8638862,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1370,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGAR1134-1,food bank site,Garden City United Methodist Church,500 Laurel Drive,Monroeville,PA,15146,Allegheny,NA,NA,NA,40.4488835,-79.7819957,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1371,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGAR2473-1,food bank site,Garfield Jubilee Association Inc.,"5323 Penn Avenue, (park truck in lot off N. Atlantic)",Pittsburgh,PA,15224,Allegheny,NA,NA,NA,40.4648595,-79.9382562,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1372,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGAT2528-1,food bank site,Gateway Health,"444 Liberty Avenue, Suite 2100",Pittsburgh,PA,15222,Allegheny,NA,NA,NA,40.440898,-80.0046248,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1373,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGEN2492-1,food bank site,General Academy Pediatrics,3414 Euler Way,Pittsburgh,PA,15213,Allegheny,NA,NA,NA,40.4391902,-79.9612797,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1374,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGLA2551-1,food bank site,Glassport Community Outreach Food Pantry,"516 Monongahela Avenue, 1st Floor",Glassport,PA,15045,Allegheny,NA,NA,NA,40.3269912,-79.892698,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1375,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGOO1017-1,food bank site,Good Samaritan COGIC Food Pantry,1030 N. Lang Avenue,Pittsburgh,PA,15208,Allegheny,NA,NA,NA,40.4597566,-79.8976152,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1376,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGOO1136-1,food bank site,Good Samaritan Food Pantry,1565 Washington Boulevard,Port Vue,PA,15133,Allegheny,NA,NA,NA,40.3327069,-79.8796895,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1377,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGOO2202-1,food bank site,Goodwill Plaza,612 Hillsboro St.,Pittsburgh,PA,15204,Allegheny,NA,NA,NA,40.4539395,-80.0531867,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1378,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGRA1137-1,food bank site,Grandview Church of God,1901 Fallowfield Avenue,Pittsburgh,PA,15216,Allegheny,NA,NA,NA,40.4048749,-80.023992,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1379,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PGRA2200-1,food bank site,Grant Towers,100 Grant Ave.,Duquesne,PA,15110,Allegheny,NA,NA,NA,40.373581,-79.846266,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
