,file_name,id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
1580,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1581,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1244-1,food bank site,Salvation Army Allegheny Valley Food Pantry,917 Brackenridge Avenue,Brackenridge,PA,15014,Allegheny,,,,40.6048905,-79.7401166,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1581,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1582,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1244-2,food bank site,Salvation Army Allegheny Valley Soup Kitchen,917 Brackenridge Avenue,Brackenridge,PA,15014,Allegheny,,,,40.6048905,-79.7401166,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1582,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1583,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1406-1,food bank site,Salvation Army Beaver Falls,414 Sixteenth St.,Beaver Falls,PA,15010,Beaver,,,,40.7570976,-80.3162185,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1583,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1584,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1406-3,food bank site,Salvation Army Beaver Falls,414 Sixth St.,Beaver Falls,PA,15010,Beaver,,,,40.7570976,-80.3162185,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1584,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1585,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1406-4,food bank site,Salvation Army Beaver Falls Fresh Market,721 Thirteenth Street,Beaver Falls,PA,15010,Beaver,,,,40.7537536,-80.3204086,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1585,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1586,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1167-1,food bank site,Salvation Army Chartiers Valley,225 West Main Street,Carnegie,PA,15106,Allegheny,,,,40.404602000000004,-80.0907678,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1586,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1587,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL2511-1,food bank site,Salvation Army Emergency Disaster Services,820 Parish Street,Pittsburgh,PA,15220,Allegheny,,,,40.4270356,-80.0429042,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1587,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1588,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1374-1,food bank site,Salvation Army Family Caring Center,6017 Broad Street,Pittsburgh,PA,15206,Allegheny,,,,40.462447,-79.923674,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1588,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1589,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1375-1,food bank site,Salvation Army Harbor Light,865 W. North Avenue,Pittsburgh,PA,15233,Allegheny,,,,40.45341320000001,-80.0167111,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1589,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1590,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1193-1,food bank site,Salvation Army Homewood Food Pantry,8020 Frankstown Avenue,Pittsburgh,PA,15221,Allegheny,,,,40.4552749,-79.883539,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1590,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1591,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1193-3,food bank site,Salvation Army Homewood Fresh Market,8020 Frankstown Avenue,Pittsburgh,PA,15221,Allegheny,,,,40.4552749,-79.883539,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1591,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1592,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL2288-1,food bank site,Salvation Army Kittanning Food Pantry,205 S. Jefferson St.,Kittanning,PA,16201,Armstrong,,,,40.8124327,-79.51832519999999,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1592,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1593,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1117-1,food bank site,Salvation Army McKeesport Food Pantry,821 Walnut Street,McKeesport,PA,15132,Allegheny,,,,40.347336299999995,-79.86377209999999,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1593,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1594,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL1117-2,food bank site,Salvation Army McKeesport Soup Kitchen,821 Walnut Street,McKeesport,PA,15132,Allegheny,,,,40.347336299999995,-79.86377209999999,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,0.0,0.0,1,,
1594,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1595,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL2118-1,food bank site,Salvation Army Midland,936 Midland Avenue,Midland,PA,15059,Beaver,,,,40.6349427,-80.4506876,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1595,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1596,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSAL2055-1,food bank site,Salvation Army New Castle,240 West Grant Street,New Castle,PA,16101,Lawrence,,,,41.0036575,-80.35163969999999,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
