"X","file_name","id","source_org","source_file","original_id","type","name","address","city","state","zip_code","county","location_description","phone","url","latitude","longitude","latlng_source","date_from","date_to","SNAP","WIC","FMNP","fresh_produce","food_bucks","free_distribution","open_to_spec_group","data_issues","group_by_cluster","group_id","fuzzy_group_within_cluster","merged_record"
298,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","299","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","40574","","Just Harvest - Larimer Farmers Market","311 Larimer Avenue","Pittsburgh","PA",15206,"ALLEGHENY","","","",40.464596,-79.915649,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",171,NA,NA,"0"
299,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","300","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","40652","","Memes Market","1608 Walz Street","Pittsburgh","PA",15212,"ALLEGHENY","","","",40.463306,-79.991203,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
300,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","301","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","40720","","Sheraden Shoppe N Kitchen","2827 Chartiers Avenue","Pittsburgh","PA",15204,"ALLEGHENY","","","",40.453438,-80.054932,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",139,NA,NA,"0"
301,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","302","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","41146","supermarket","ALDI 44","100 Aldi Drive","North Versailles","PA",15137,"ALLEGHENY","","","",40.369694,-79.779541,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
302,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","303","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","41360","","PITALAND INC.","620 Brookline Boulevard","Pittsburgh","PA",15226,"ALLEGHENY","","","",40.395084,-80.021919,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",302,NA,NA,"0"
303,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","304","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","41616","convenience store","Family Dollar 32538","10707 Frankstown Road","Pittsburgh","PA",15235,"ALLEGHENY","","","",40.461147,-79.841866,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",203,NA,NA,"0"
304,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","305","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","41698","convenience store","Dollar General 19485","289 Oak Road","Gibsonia","PA",15044,"ALLEGHENY","","","",40.629856,-79.888435,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
305,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","306","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","41709","","Speed Mart","209 Third Street","Dravosburg","PA",15034,"ALLEGHENY","","","",40.349373,-79.891808,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
306,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","307","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","42057","","R&M VARIETY STORE","1739 Pennsylvania Avenue","West Mifflin","PA",15122,"ALLEGHENY","","","",40.362057,-79.861015,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
307,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","308","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","43204","convenience store","Sheetz 629","5554 Steubenville Pike","McKees Rocks","PA",15136,"ALLEGHENY","","","",40.450958,-80.127953,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
308,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","309","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","43654","","Braddock Avenue Express","1101 S Braddock Avenue","Pittsburgh","PA",15218,"ALLEGHENY","","","",40.432709,-79.893913,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",308,NA,NA,"0"
309,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","310","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","43767","convenience store","Dollar General Store 18057","93 Joseph Street","Pittsburgh","PA",15227,"ALLEGHENY","","","",40.389996,-79.965088,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
310,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","311","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","44146","","Saad United Inc","1318 Federal Street","Pittsburgh","PA",15212,"ALLEGHENY","","","",40.457172,-80.007156,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",310,NA,NA,"0"
311,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","312","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","44193","convenience store","Sheetz 582","4723 William Penn Highway","Monroeville","PA",15146,"ALLEGHENY","","","",40.434216,-79.732582,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
312,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","313","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","44450","","Elizabeth Pharmacy, Inc.","5041 2nd Avenue","Pittsburgh","PA",15207,"ALLEGHENY","","","",40.4072,-79.943268,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
