file_name,idField,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude
food-data/Cleaned_data_files//cleaned_agh_wic.csv,81,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2694562,,Shop N Save,125 Virginia Avenue,Mt. Washington,PA,15211,,,,,40.429429,-80.007974
food-data/Cleaned_data_files//cleaned_agh_wic.csv,82,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2994319,,Shop N Save,2103 Noblestown Road,Noblestown,PA,15205,,,,,40.430659,-80.052001
food-data/Cleaned_data_files//cleaned_agh_wic.csv,83,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2984266,,Shop N Save,4313 Walnut Street,Olympia,PA,15132,,,,,40.322228,-79.834027
food-data/Cleaned_data_files//cleaned_agh_wic.csv,84,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3007247,,Shop N Save,1130 Perry Highway,Pines Plaza,PA,15237,,,,,40.54783,-80.0351
food-data/Cleaned_data_files//cleaned_agh_wic.csv,85,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3054998,,Shop N Save,184 Rochester Road,Rochester Road,PA,15229,,,,,40.519815,-80.018107
food-data/Cleaned_data_files//cleaned_agh_wic.csv,86,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2844118,,Shop N Save,908 Little Deer Creek Valley Road,Russelton,PA,15076,,,,,40.608671,-79.833507
food-data/Cleaned_data_files//cleaned_agh_wic.csv,87,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2717654,,Shop N Save,1620 Babcock Boulevard,Shaler,PA,15209,,,,,40.499484,-79.979598
food-data/Cleaned_data_files//cleaned_agh_wic.csv,89,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,51225,,Shur Save,4401 Liberty Avenue,Bloomfield,PA,15224,,,,,40.464046,-79.952134
food-data/Cleaned_data_files//cleaned_agh_wic.csv,92,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2840342,supermarket,Target,360 East Waterfront Drive,Homestead,PA,15120,,,,,40.410877,-79.910615
food-data/Cleaned_data_files//cleaned_agh_wic.csv,93,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2954381,supermarket,Target,4004 Monroeville Road,Monroeville,PA,15146,,,,,40.43237,-79.7722
food-data/Cleaned_data_files//cleaned_agh_wic.csv,94,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2776154,supermarket,Target,600 Chauvet Drive,Robinson,PA,15275,,,,,40.44629,-80.183546
food-data/Cleaned_data_files//cleaned_agh_wic.csv,95,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,91386,supermarket,Target,201 South Hills Village,South Hills Village,PA,15241,,,,,40.343606,-80.057543
food-data/Cleaned_data_files//cleaned_agh_wic.csv,96,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3148465,supermarket,Wal Mart,2200 Washington Pike,Carnegie,PA,15106,,,,,40.38475,-80.09314
food-data/Cleaned_data_files//cleaned_agh_wic.csv,97,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,91410,supermarket,Wal Mart,4015 Freeport Road,Natrona Heights,PA,15065,,,,,40.646899,-79.710012
food-data/Cleaned_data_files//cleaned_agh_wic.csv,98,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2774136,supermarket,Wal Mart,250 Summit Park Drive,North Fayette,PA,15275,,,,,40.44778,-80.18038
food-data/Cleaned_data_files//cleaned_agh_wic.csv,99,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3159029,supermarket,Wal Mart,100 Wal Mart Drive,North Versailles,PA,15137,,,,,40.38609,-79.82254
