id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,USDA,PA.xlsx,NA,NA,CVS PHARMACY 7611,4849 William Flynn Hwy,Allison Park,PA,15101,ALLEGHENY,NA,NA,NA,40.599445,-79.947502,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,CVS PHARMACY INC 3999,401 Chestnut St,Carnegie,PA,15106,ALLEGHENY,NA,NA,NA,40.41008,-80.082382,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,CVS PHARMACY INC 4002,70 W Steuben St,Pittsburgh,PA,15205,ALLEGHENY,NA,NA,NA,40.438564,-80.07032,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,WALGREENS 09345,10707 Frankstown Rd,Pittsburgh,PA,15235,ALLEGHENY,NA,NA,NA,40.460594,-79.84214,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Sheetz 379,9002 University Blvd,Moon Township,PA,15108,ALLEGHENY,NA,NA,NA,40.503254,-80.222305,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,CASTLE SHANNON SHOP N SAVE,799 Castle Shannon Blvd,Pittsburgh,PA,15234,ALLEGHENY,NA,NA,NA,40.368637,-80.028931,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,IMPERIAL SHOP N SAVE,600 Market Place Dr,Oakdale,PA,15071,ALLEGHENY,NA,NA,NA,40.440285,-80.239944,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Walmart 3838,2010 Village Center Dr,Tarentum,PA,15084,ALLEGHENY,NA,NA,NA,40.562939,-79.803284,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,KUHNS MARKET,4801 McKnight Rd,Pittsburgh,PA,15237,ALLEGHENY,NA,NA,NA,40.528229,-80.007042,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Kiev International Food,4223 Murray Ave,Pittsburgh,PA,15217,ALLEGHENY,NA,NA,NA,40.422482,-79.928818,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Century Square Shop N Save,2381 Mountain View Dr,West Mifflin,PA,15122,ALLEGHENY,NA,NA,NA,40.346218,-79.943558,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Dollar Tree 0203,1155 Washington Pike Ste 49,Bridgeville,PA,15017,ALLEGHENY,NA,NA,NA,40.368584,-80.102608,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,DOLLAR TREE 1275,110 Walmart Dr,N Versailles,PA,15137,ALLEGHENY,NA,NA,NA,40.385948,-79.822449,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,GLENSHAW SHOP N SAVE,917 Butler St,Pittsburgh,PA,15223,ALLEGHENY,NA,NA,NA,40.511703,-79.948013,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Sheetz 376,1000 Clairton Blvd,Pittsburgh,PA,15236,ALLEGHENY,NA,NA,NA,40.320313,-79.941917,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Noblestown Rd. Shop N Save,2103 Noblestown Rd,Pittsburgh,PA,15205,ALLEGHENY,NA,NA,NA,40.432098,-80.052467,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,SALIMS MIDDLE EASTERN FOODS,4705 Centre Ave,Pittsburgh,PA,15213,ALLEGHENY,NA,NA,NA,40.452717,-79.949356,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
