id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
1743,F Ferrato Foods Co,203,Boggs  Avenue,Pittsburgh,PA,15211,Pittsburgh-119,172,Food Processor,1,1/1/38,1/1/38,0,,11700,1,1,-80.00753432,40.42622485,203 Boggs  Avenue Pittsburgh PA 15211
1752,Bel Aire Foods,530,Camp Horne Rd,Pittsburgh,PA,15237,Ohio,172,Food Processor,1,6/17/84,6/17/84,0,,6000,1,1,-80.08097988,40.52252007,530 Camp Horne Rd Pittsburgh PA 15237
1766,S & S Candy & Cigar Co,2025,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,151,Warehouse,2,1/1/81,1/1/81,0,,9000,1,1,-79.97649572,40.42879157,2025 E Carson St Pittsburgh PA 15203
1778,Mallet & Co Inc,51,Arch Street Extension,Carnegie,PA,15106,Rosslyn Farms,172,Food Processor,1,1/1/38,1/1/38,0,,53000,1,1,-80.08048542,40.4180986,51 Arch Street Extension Carnegie PA 15106
1781,Silver Star Meats,1720,Middletown Rd,Mc Kees Rocks,PA,15136,Kennedy,172,Food Processor,0,1/1/64,1/1/64,0,,8500,1,1,-80.0841518,40.46811004,1720 Middletown Rd Mc Kees Rocks PA 15136
1785,Mancini's Bakery,601,Woodward Ave,Mc Kees Rocks,PA,15136,Stowe,172,Food Processor,1,1/1/25,1/1/25,0,,4200,1,1,-80.07101128,40.47140997,601 Woodward Ave Mc Kees Rocks PA 15136
1788,Thompson Bakery,1565,Banfield Street,Pittsburgh,PA,15235,Penn Hills,172,Food Processor,1,4/1/46,4/1/46,0,,800,7,1,-79.88777841,40.46283595,1565 Banfield Street Pittsburgh PA 15235
1791,Stagno's Bakery,233,Auburn St,Pittsburgh,PA,15206,Pittsburgh-112,172,Food Processor,1,1/1/67,1/1/67,0,,7500,1,1,-79.91347876,40.46123642,233 Auburn St Pittsburgh PA 15206
1794,Parma Sausage Products,1732,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,172,Food Processor,1,7/1/59,7/1/59,0,,1800,1,1,-79.98495049,40.45017083,1732 Penn Avenue Pittsburgh PA 15222
1795,Robert Wholey Co,1711,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,111,Supermarket,1,12/16/92,12/16/92,0,,11100,1,1,-79.9858633,40.450101,1711 Penn Avenue Pittsburgh PA 15222
1807,Pittsburgh Casing Co,102,33rd St,Pittsburgh,PA,15201,Pittsburgh-106,172,Food Processor,2,6/17/84,6/17/84,0,,2500,7,1,-79.96946337,40.46199249,102 33rd St Pittsburgh PA 15201
1818,M Cibrone & Sons Bakery,1231,Grove  Road,Pittsburgh,PA,15234,Castle Shannon,172,Food Processor,1,6/1/85,6/1/85,0,,6000,1,1,-80.01324556,40.36595828,1231 Grove  Road Pittsburgh PA 15234
1846,Yough Twister,2101,Douglas Run Rd,Sutersville,PA,15083,Elizabeth Township,211,Restaurant without Liquor,1,6/22/72,6/22/72,0,,0,1,1,-79.80726233,40.24275236,2101 Douglas Run Rd Sutersville PA 15083
1862,South Hills Country Club Pool Snackbar,4305,Brownsville Rd,Pittsburgh,PA,15236,Whitehall,777,Seasonal/Pool Snack Bar,1,1/1/56,1/1/56,0,,0,2,1,-79.98554323,40.3609404,4305 Brownsville Rd Pittsburgh PA 15236
