id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTT2252-1,food bank site,St. Thomas Moore Manor,1000 Oxford Dr.,Bethel Park,PA,15102,Allegheny,,,,40.3436687,-80.0501755,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTV2011-1,food bank site,St. Vincent DePaul of Butler,157 North Elm Street,Butler,PA,16001,Butler,,,,40.8626464,-79.8891226,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTV2534-1,food bank site,St. Vincent DePaul of Sharpsburg,6th and Penn Street,Sharpsburg,PA,15215,Allegheny,,,,40.4960168,-79.9337708,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTW1034-1,food bank site,St. Winifred,550 Sleepy Hollow Road,Pittsburgh,PA,15228,Allegheny,,,,40.375395,-80.023619,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTE2510-1,food bank site,Steel Valley LifeSpan,530 Miller Ave,Clairton,PA,15025,Allegheny,,,,40.2939738,-79.8826438,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTE1102-1,food bank site,Steelview Manor Food Pantry,"501 Pirl St., Apt 6A",McKeesport,PA,15132,Allegheny,,,,40.3520238,-79.8437242,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTE2482-1,food bank site,Steelworkers Tower,2639 Perrysville Ave.,Pittsburgh,PA,15214,Allegheny,,,,40.471753,-80.010485,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTE2250-1,food bank site,Steps to a Healthy Community,820 Braddock Ave.,Braddock,PA,15104,Allegheny,,,,40.4007998,-79.8657439,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTE1103-1,food bank site,Stewart Avenue Lutheran Church,2810 Brownsville Road,Pittsburgh,PA,15227,Allegheny,,,,40.3830101,-79.9773298,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,"PSTO2506-1
",food bank site,Sto-Rox Plaza,731 Chartiers Ave,McKees Rocks,PA,15136,Allegheny,,,,,,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,latitude missing;longitude missing;
