id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,The Environmental Charter Lower School Edible Schoolyard,school-garden,309 South Braddock Avenue,NA,NA,Pittsburgh,Pennsylvania,15221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.444922,-79.895715,NA,NA
NA,The Environmental Charter Upper School Living Laboratory,school-garden,829 Milton Street,NA,NA,Pittsburgh,Pennsylvania,15218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.436015,-79.89694,NA,NA
NA,The Neighborhood Academy,school-garden,709 N Aiken Avenue,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.472894,-79.932793,NA,NA
NA,Urban League Charter School,school-garden,327 N Negley Avenue,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.466733,-79.929864,NA,NA
NA,Waldorf School of Pittsburgh,school-garden,201 S Winebiddle Street,NA,NA,Pittsburgh,Pennsylvania,15224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.463958,-79.942294,NA,NA
NA,West End Children's Center,school-garden,42 Wabash Street,NA,NA,Pittsburgh,Pennsylvania,15220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.440192,-80.03457,NA,NA
NA,Frick Greenhouse,commercial-urban-farm|grow-pittsburgh-site,7227 Reynolds Street,NA,NA,Pittsburgh,Pennsylvania,15208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.447816,-79.901057,NA,NA
NA,Shiloh Farm,commercial-urban-farm|grow-pittsburgh-site,7227 Thomas Boulevard,NA,NA,Pittsburgh,Pennsylvania,15208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.450512,-79.898805,NA,NA
NA,Garfield Community Farm,commercial-urban-farm,Cornwall St & Wicklow Street,NA,NA,Pittsburgh,Pennsylvania,15224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.46941,-79.934616,NA,NA
NA,Bandi Schaum Garden,allegheny-grows-site,2315 Sidney Street,NA,NA,Pittsburgh,Pennsylvania,15203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.429303,-79.972425,NA,NA
NA,East Field Cooperative Garden,sustainability-fund-site,5543 Black Street,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.469404,-79.928441,NA,NA
NA,Elliott Community Garden,sustainability-fund-site,706 Lorenz Avenue,NA,NA,Pittsburgh,Pennsylvania,15220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.44501,-80.039497,NA,NA
NA,Fineview Community Garden,community-garden,13 Carrie Street,NA,NA,Pittsburgh,Pennsylvania,15212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.461294,-80.002021,NA,NA
NA,Frazier Farms Community Garden,sustainability-fund-site|school-garden,3638 Frazier Street,NA,NA,Pittsburgh,Pennsylvania,15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.429735,-79.954579,NA,NA
NA,Garden of Etna,sustainability-fund-site,9 Short Alley,NA,NA,Pittsburgh,Pennsylvania,15223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.496077,-79.945871,NA,NA
NA,Garden On Gearing,sustainability-fund-site,409-411 Gearing Avenue,NA,NA,Pittsburgh,Pennsylvania,15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.418085,-80.00523,NA,NA
NA,Glenn Avenue Community Garden,community-garden,Glenn Avenue & Swissvale Avenue,NA,NA,Pittsburgh,Pennsylvania,15221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.444612,-79.875885,NA,NA
NA,Harmar Street Community Garden,community-garden,331 Harmar Street,NA,NA,Pittsburgh,Pennsylvania,15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.457406,-79.967969,NA,NA
NA,Highland Park Community Gardens,community-garden,Stanton Avenue,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.472064,-79.913673,NA,NA
NA,Kincaid Street Community Garden,sustainability-fund-site,5409 Kincaid Street,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.466375,-79.934859,NA,NA
NA,Kiwanis Community Garden,sustainability-fund-site,2801 Jenny Lind Street,NA,NA,McKeesport,Pennsylvania,15132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.339138,-79.844107,NA,NA
NA,Larimer Community Garden,sustainability-fund-site,300 Larimer Avenue,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.46432,-79.91601,NA,NA
NA,Lawrenceville Community Gardens,community-garden,4200 Sherrod Street,NA,NA,Pittsburgh,Pennsylvania,15201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.467567,-79.956557,NA,NA
NA,Martin Luther King Jr. Community Garden,allegheny-grows-site,219 Kirkpatrick Street,NA,NA,Pittsburgh,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.440368,-79.983611,NA,NA
NA,Morningside Community Garden,community-garden,NA,NA,NA,Pittsburgh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.486784,-79.923468,NA,NA
NA,Mt. Oliver Borough Community Garden,allegheny-grows-site|sustainability-fund-site,Transverse Park,NA,NA,Mount Oliver,Pennsylvania,15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.406719,-79.984659,NA,NA
NA,Penn Hills Community Garden,allegheny-grows-site|sustainability-fund-site,1162 Jefferson Road,NA,NA,Penn Hills,Pennsylvania,15235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.447638,-79.798817,NA,NA
NA,Stanton Heights Allegheny Cemetery Community Garden,sustainability-fund-site,Stanton Avenue,NA,NA,Pittsburgh,Pennsylvania,15201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.473711,-79.961237,NA,NA
NA,The Harry Orlando Memorial Community Garden,community-garden,2205 5th Avenue,NA,NA,Pittsburgh,Pennsylvania,15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.438247,-79.973943,NA,NA
NA,The Octopus Garden,community-garden,133 S. Aiken Avenue,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.463591,-79.936771,NA,NA
NA,Tustin Street Community Garden,allegheny-grows-site,2021 Tustin Street,NA,NA,Pittsburgh,Pennsylvania,15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.436569,-79.977099,NA,NA
