id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,Rocks Express,NA,700 Frederick St NA,NA,NA,McKees Rocks,PA,15136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.472115,-80.065102,NA,NA
NA,United Food Mart,NA,3112 Chartiers Ave NA,NA,NA,Pittsburgh,PA,15204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.453579,-80.061501,NA,NA
NA,Aldi 68,NA,4578 William Flynn Hwy NA,NA,NA,Allison Park,PA,15101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.588921,-79.949097,NA,NA
NA,Patel Brothers,NA,4145 William Penn Hwy Ste 5,NA,NA,Monroeville,PA,15146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.438869,-79.766396,NA,NA
NA,Family Dollar 8379,NA,821 Chartiers Ave NA,NA,NA,McKees Rocks,PA,15136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.465809,-80.06498,NA,NA
NA,CVS 5890,NA,3893 William Penn Hwy NA,NA,NA,Monroeville,PA,15146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.437435,-79.778694,NA,NA
NA,Sunoco 7279,NA,3505 Library Rd NA,NA,NA,Pittsburgh,PA,15234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.366516,-80.014542,NA,NA
NA,Save-a-lot,NA,9 Duquesne Plz NA,NA,NA,Duquesne,PA,15110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.373634,-79.845924,NA,NA
NA,Leonard Labriola's Italian Store,NA,112 Northgate Dr NA,NA,NA,Warrendale,PA,15086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.650681,-80.07856,NA,NA
NA,Dollar General 12542,NA,1714 Laketon Rd NA,NA,NA,Wilkinsburg,PA,15221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.449074,-79.867088,NA,NA
NA,Cogo's 496,NA,721 Island Ave NA,NA,NA,McKees Rocks,PA,15136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.472603,-80.061897,NA,NA
NA,The Hotspot Of Glassport,NA,601 Monongahela Ave NA,NA,NA,Glassport,PA,15045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.325947,-79.892403,NA,NA
NA,Fuel On,NA,5724 Ellsworth Ave NA,NA,NA,Pittsburgh,PA,15232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.455196,-79.931664,NA,NA
NA,Dollar Tree 4501,NA,4313 Walnut St Ste 10,NA,NA,McKeesport,PA,15132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.321171,-79.836456,NA,NA
NA,Aldi 72,NA,3089 Sussex Ave NA,NA,NA,Pittsburgh,PA,15226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.383556,-80.015427,NA,NA
NA,Family Dollar 8406,NA,1108 Milltown Unity Rd NA,NA,NA,Verona,PA,15147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.498695,-79.790024,NA,NA
NA,Dollar Tree 4522,NA,2350 Noblestown Rd NA,NA,NA,Pittsburgh,PA,15205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.427067,-80.05558,NA,NA
NA,Speedy Tobacco Mart,NA,1602 5th Ave NA,NA,NA,Coraopolis,PA,15108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.513393,-80.153542,NA,NA
NA,Sunoco ARLINTON,NA,1643 Arlington Ave NA,NA,NA,Pittsburgh,PA,15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.417816,-79.986694,NA,NA
NA,GetGo 3641,NA,3029 Washington Pike NA,NA,NA,Bridgeville,PA,15017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.353493,-80.114944,NA,NA
NA,Shah Sunoco,NA,903 Lincoln Hwy NA,NA,NA,North Versailles,PA,15137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.378574,-79.804764,NA,NA
NA,Fourth Street Market,NA,529 4th St NA,NA,NA,Braddock,PA,15104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.407204,-79.869064,NA,NA
NA,Westview Shell,NA,411 Perry Hwy NA,NA,NA,Pittsburgh,PA,15229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.518543,-80.031883,NA,NA
NA,Giant Eagle 18,NA,1671 Butler Plank Rd NA,NA,NA,Glenshaw,PA,15116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.537659,-79.963448,NA,NA
NA,D S Food Mart Inc,NA,929 Union Ave NA,NA,NA,McKeesport,PA,15132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.346752,-79.854698,NA,NA
NA,Las Palmas 2,NA,326 Atwood St NA,NA,NA,Pittsburgh,PA,15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.439068,-79.95517,NA,NA
NA,Oriental Market,NA,4768 McKnight Rd NA,NA,NA,Pittsburgh,PA,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.523071,-80.005333,NA,NA
NA,Stop & Shop Convenience,NA,2110 Ardmore Blvd NA,NA,NA,Pittsburgh,PA,15221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.419338,-79.849854,NA,NA
